datetime,open,high,low,close,volume
02-01-1998,38.38,38.63,37.31,37.5,594000
05-01-1998,37.63,37.78,36.75,37.13,644000
06-01-1998,37.13,37.38,35.56,35.63,1183300
07-01-1998,35.5,36.44,34.25,34.69,2039005
08-01-1998,34.56,36.01,34,35.76,1638105
09-01-1998,35.75,36.01,34.37,35.13,713703
12-01-1998,34.5,35.37,34.25,35.19,855603
13-01-1998,35.38,35.63,35,35.56,460200
14-01-1998,35.63,35.63,35.07,35.19,336200
15-01-1998,35.13,35.26,33.75,34,742700
16-01-1998,34.38,34.38,33.75,34.06,1037101
20-01-1998,34.25,35.38,34.12,34.94,964102
21-01-1998,35,35.26,34.06,34.13,577705
22-01-1998,34.25,36.63,33.62,34.25,1860309
23-01-1998,34.38,35.51,34.12,34.75,899300
26-01-1998,35.13,35.25,34.12,34.19,771500
27-01-1998,34.25,34.38,33.13,33.62,780900
28-01-1998,33.88,35.13,33.75,34.94,1211000
29-01-1998,35.19,37.13,35,36.57,2256307
30-01-1998,36.69,36.82,36.37,36.75,590600
02-02-1998,37,37.88,36.69,37.63,6340701
03-02-1998,37.88,38.63,37.62,38.25,980101
04-02-1998,37.75,39,37.62,38.85,673402
05-02-1998,39,39.07,37.25,37.75,712703
06-02-1998,37.88,39.13,37.88,38,849705
09-02-1998,38.44,38.5,36.5,36.69,1097800
10-02-1998,37,37.26,36,36.75,940700
11-02-1998,37,38.38,36.69,37.75,1240708
12-02-1998,37.88,37.94,37.5,37.82,796600
13-02-1998,37.75,38.25,37.63,37.94,406700
17-02-1998,38,38.69,37.87,38.5,817702
18-02-1998,38.44,38.82,38.31,38.5,317901
19-02-1998,38.63,38.63,37,37.19,806300
20-02-1998,37.25,37.76,36.62,37.5,871101
23-02-1998,37.5,38.26,37.5,37.81,560216
24-02-1998,37.88,38.26,36,36.62,1330108
25-02-1998,36.88,38.13,36.75,37.75,1087500
26-02-1998,38,40.13,37.93,39.82,2510605
27-02-1998,39.75,39.94,39.12,39.75,1162500
02-03-1998,39.56,41.06,39.5,40.75,1785501
03-03-1998,40.56,41.26,40.12,40.32,1040409
04-03-1998,40.25,40.41,38.87,39.38,933202
05-03-1998,38.25,39.26,38.13,38.63,570301
06-03-1998,38.75,39.88,38.5,39.06,792604
09-03-1998,38.88,40.25,38.75,40,780206
10-03-1998,40.19,40.5,39.5,40.25,548000
11-03-1998,41.5,42,41.13,41.87,1143204
12-03-1998,41.88,41.94,40.5,40.87,487800
13-03-1998,41,41.13,40.25,40.38,372200
16-03-1998,40.5,40.63,40.12,40.31,200500
17-03-1998,40.31,41.44,40,41.12,535300
18-03-1998,41.13,41.38,40.87,41,263300
19-03-1998,41,41.13,40.62,40.75,406300
20-03-1998,41.06,41.88,40.75,41.62,730806
23-03-1998,41.69,41.69,40.69,40.69,207201
24-03-1998,40.94,42.13,40.5,41.94,710500
25-03-1998,42.13,43.13,41.75,42.5,1218507
26-03-1998,42.25,43.12,41.38,43.06,984003
27-03-1998,43.19,43.19,42.38,42.88,573200
30-03-1998,43.56,45.19,43.5,44.88,1990709
31-03-1998,44.88,46.44,44.69,45.31,1412409
01-04-1998,45.38,46.38,44.75,46,1736702
02-04-1998,45.88,47.75,45.87,46,1733014
03-04-1998,46,46.81,45.25,46.38,940000
06-04-1998,46.5,47.25,44.19,44.5,991003
07-04-1998,44.5,44.5,43.25,43.75,762401
08-04-1998,43.88,43.88,43.12,43.31,400301
09-04-1998,43.38,43.51,42.5,43.06,560103
13-04-1998,43.25,43.88,43.13,43.38,572202
14-04-1998,43.44,44.76,43.44,44.44,721411
15-04-1998,44.63,45.76,44.5,45.25,684604
16-04-1998,45,45.38,44.37,45.19,286500
17-04-1998,44.81,45.56,44.75,45.44,497600
20-04-1998,45.06,46,45.06,45.5,318100
21-04-1998,45.5,45.5,44.12,45.25,581600
